Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
Midrange, 26, 78, 0.51, 393, 5.04, 0.52, 6, 42
Combo, 26, 68, 0.44, 291, 4.28, 0.46, 2, 32
Aggro, 10, 24, 0.16, 108, 4.50, 0.49, 0, 13
Control, 9, 15, 0.10, 75, 5.00, 0.52, 0, 9
Tempo, 1, 1, 0.01, 3, 3.00, 0.33, 0, 0
Stax, 0, 0, 0.00, 0, 0, 0, 0, 0

Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
Jeskai, 4, 24, 0.16, 144, 6.00, 0.61, 6, 14
5 Color, 5, 23, 0.15, 102, 4.43, 0.47, 1, 11
Naya, 3, 10, 0.06, 57, 5.70, 0.59, 0, 7
Jund, 3, 8, 0.05, 36, 4.50, 0.46, 0, 3
WURG, 2, 8, 0.05, 38, 4.75, 0.46, 0, 4
Mono White, 1, 7, 0.05, 33, 4.71, 0.52, 0, 4
Grixis, 4, 7, 0.05, 39, 5.57, 0.62, 0, 6
Abzan, 2, 7, 0.05, 24, 3.43, 0.38, 0, 2
WUBG, 2, 7, 0.05, 40, 5.71, 0.56, 1, 3
Mono Red, 3, 6, 0.04, 30, 5.00, 0.53, 0, 3
Boros, 3, 6, 0.04, 24, 4.00, 0.44, 0, 3
Esper, 4, 6, 0.04, 21, 3.50, 0.39, 0, 2
Sultai, 2, 4, 0.03, 18, 4.50, 0.50, 0, 3
Mono Black, 2, 3, 0.02, 15, 5.00, 0.56, 0, 2
Simic, 1, 3, 0.02, 6, 2.00, 0.22, 0, 1
Temur, 3, 3, 0.02, 18, 6.00, 0.67, 0, 3
Dimir, 2, 2, 0.01, 4, 2.00, 0.22, 0, 0
Rakdos, 2, 2, 0.01, 9, 4.50, 0.50, 0, 1
Izzet, 1, 2, 0.01, 6, 3.00, 0.33, 0, 0
Bant, 2, 2, 0.01, 6, 3.00, 0.33, 0, 0
UBRG, 2, 2, 0.01, 15, 7.50, 0.71, 0, 2
Mono Blue, 1, 1, 0.01, 3, 3.00, 0.33, 0, 0
Azorius, 1, 1, 0.01, 6, 6.00, 0.67, 0, 1
Gruul, 1, 1, 0.01, 3, 3.00, 0.33, 0, 0
Selesnya, 1, 1, 0.01, 0, 0.00, 0.00, 0, 0
Golgari, 1, 1, 0.01, 6, 6.00, 0.67, 0, 1
Mardu, 1, 1, 0.01, 0, 0.00, 0.00, 0, 0
WBRG, 1, 1, 0.01, 9, 9.00, 0.75, 0, 1
Mono Green, 0, 0, 0.00, 0, 0, 0, 0, 0
Orzhov, 0, 0, 0.00, 0, 0, 0, 0, 0
WUBR, 0, 0, 0.00, 0, 0, 0, 0, 0

Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
Blue Midrange, 6, 24, 0.16, 148, 0.96, 0.62, 6, 14
Breach Storm, 2, 12, 0.08, 51, 0.33, 0.45, 1, 5
Death and Taxes, 2, 11, 0.07, 51, 0.33, 0.52, 0, 7
Initiative Midrange, 4, 10, 0.06, 51, 0.33, 0.52, 0, 4
Welder, 3, 9, 0.06, 33, 0.21, 0.41, 0, 4
Time Vault, 3, 9, 0.06, 30, 0.19, 0.37, 0, 3
Birthing Pod, 3, 9, 0.06, 36, 0.23, 0.44, 0, 4
Seeker Walk, 2, 7, 0.05, 29, 0.19, 0.42, 0, 3
Thoracle, 3, 7, 0.05, 39, 0.25, 0.62, 0, 6
Goblins, 2, 3, 0.02, 6, 0.04, 0.22, 0, 0
Rick Decks, 3, 3, 0.02, 9, 0.06, 0.33, 0, 1
Blue Moon, 2, 3, 0.02, 12, 0.08, 0.44, 0, 1
Lands Midrange, 1, 1, 0.01, 3, 0.02, 0.33, 0, 0
