Colors,,,,,,,,,,Color Combinations
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
White, 73, 299, 0.62, 1432, 4.79, 0.50, 22, 143,,Jeskai, 5, 57, 0.12, 359, 6.30, 0.62, 14, 33
Blue, 77, 285, 0.59, 1355, 4.75, 0.49, 21, 139,,5 Color, 6, 43, 0.09, 186, 4.33, 0.45, 1, 19
Black, 75, 229, 0.47, 992, 4.33, 0.46, 6, 104,,Mono White, 2, 26, 0.05, 150, 5.77, 0.59, 2, 17
Red, 70, 327, 0.67, 1625, 4.97, 0.52, 21, 172,,WURG, 8, 38, 0.08, 162, 4.26, 0.44, 1, 17
Green, 72, 268, 0.55, 1227, 4.58, 0.48, 6, 133,,Naya, 4, 25, 0.05, 135, 5.40, 0.56, 0, 16
,,,,,,,,,,Grixis, 8, 27, 0.06, 116, 4.30, 0.47, 0, 14
,,,,,,,,,,WUBG, 12, 33, 0.07, 155, 4.70, 0.48, 2, 14
Number of Colors,,,,,,,,,,UBRG, 4, 15, 0.03, 96, 6.40, 0.65, 1, 13
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,Mono Red, 4, 21, 0.04, 115, 5.48, 0.57, 2, 12
Mono, 11, 56, 0.12, 295, 5.27, 0.54, 4, 32,,Jund, 6, 26, 0.05, 123, 4.73, 0.50, 0, 12
Two, 29, 80, 0.16, 326, 4.08, 0.44, 1, 35,,Gruul, 4, 23, 0.05, 111, 4.83, 0.50, 1, 11
Three, 52, 203, 0.42, 994, 4.90, 0.51, 15, 102,,Temur, 5, 13, 0.03, 63, 4.85, 0.53, 0, 9
Four, 28, 92, 0.19, 443, 4.82, 0.49, 5, 47,,Boros, 6, 16, 0.03, 69, 4.31, 0.48, 0, 8
Five, 6, 43, 0.09, 186, 4.33, 0.45, 1, 19,,Sultai, 5, 12, 0.02, 55, 4.58, 0.50, 0, 7
,,,,,,,,,,Esper, 9, 21, 0.04, 74, 3.52, 0.37, 1, 6
,,,,,,,,,,Rakdos, 3, 11, 0.02, 45, 4.09, 0.45, 0, 5
,,,,,,,,,,Golgari, 3, 6, 0.01, 27, 4.50, 0.50, 0, 4
,,,,,,,,,,Abzan, 5, 16, 0.03, 51, 3.19, 0.35, 0, 4
,,,,,,,,,,Selesnya, 2, 5, 0.01, 21, 4.20, 0.47, 0, 3
,,,,,,,,,,Mono Black, 2, 4, 0.01, 15, 3.75, 0.42, 0, 2
,,,,,,,,,,Azorius, 3, 5, 0.01, 19, 3.80, 0.42, 0, 2
,,,,,,,,,,WBRG, 3, 4, 0.01, 18, 4.50, 0.46, 0, 2
,,,,,,,,,,Mono Blue, 2, 3, 0.01, 12, 4.00, 0.40, 0, 1
,,,,,,,,,,Dimir, 4, 5, 0.01, 13, 2.60, 0.29, 0, 1
,,,,,,,,,,Simic, 1, 3, 0.01, 6, 2.00, 0.22, 0, 1
,,,,,,,,,,Bant, 3, 4, 0.01, 15, 3.75, 0.42, 0, 1
,,,,,,,,,,WUBR, 1, 2, 0.00, 12, 6.00, 0.57, 1, 1
,,,,,,,,,,Mono Green, 1, 2, 0.00, 3, 1.50, 0.17, 0, 0
,,,,,,,,,,Orzhov, 2, 2, 0.00, 3, 1.50, 0.17, 0, 0
,,,,,,,,,,Izzet, 1, 4, 0.01, 12, 3.00, 0.33, 0, 0
,,,,,,,,,,Mardu, 2, 2, 0.00, 3, 1.50, 0.17, 0, 0
