Colors,,,,,,,,,,Color Combinations
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
White, 42, 131, 0.74, 612, 4.67, 0.50, 12, 62,,WUBG, 7, 31, 0.18, 151, 4.87, 0.52, 4, 14
Blue, 42, 131, 0.74, 617, 4.71, 0.50, 12, 64,,Esper, 4, 15, 0.09, 88, 5.87, 0.61, 1, 11
Black, 46, 122, 0.69, 528, 4.33, 0.47, 6, 56,,Jeskai, 3, 15, 0.09, 75, 5.00, 0.51, 1, 7
Red, 35, 85, 0.48, 356, 4.19, 0.45, 2, 36,,WUBR, 3, 13, 0.07, 61, 4.69, 0.51, 1, 7
Green, 36, 98, 0.56, 438, 4.47, 0.48, 8, 45,,Bant, 3, 8, 0.05, 62, 7.75, 0.74, 4, 6
,,,,,,,,,,Abzan, 4, 10, 0.06, 42, 4.20, 0.45, 0, 4
,,,,,,,,,,WURG, 1, 6, 0.03, 30, 5.00, 0.56, 0, 4
Number of Colors,,,,,,,,,,5 Color, 6, 12, 0.07, 36, 3.00, 0.33, 0, 4
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,Golgari, 3, 5, 0.03, 21, 4.20, 0.47, 0, 3
Mono, 3, 5, 0.03, 12, 2.40, 0.27, 0, 1,,Mardu, 3, 3, 0.02, 18, 6.00, 0.67, 0, 3
Two, 12, 25, 0.14, 101, 4.04, 0.43, 1, 10,,Sultai, 4, 8, 0.05, 23, 2.88, 0.32, 0, 3
Three, 28, 72, 0.41, 355, 4.93, 0.52, 6, 38,,Rakdos, 2, 5, 0.03, 22, 4.40, 0.46, 0, 2
Four, 15, 59, 0.34, 273, 4.63, 0.50, 5, 27,,Simic, 1, 2, 0.01, 12, 6.00, 0.67, 0, 2
Five, 6, 12, 0.07, 36, 3.00, 0.33, 0, 4,,Jund, 1, 4, 0.02, 18, 4.50, 0.50, 0, 2
,,,,,,,,,,UBRG, 3, 4, 0.02, 19, 4.75, 0.53, 0, 2
,,,,,,,,,,Mono Red, 2, 3, 0.02, 9, 3.00, 0.33, 0, 1
,,,,,,,,,,Azorius, 1, 6, 0.03, 19, 3.17, 0.33, 1, 1
,,,,,,,,,,Boros, 3, 3, 0.02, 12, 4.00, 0.40, 0, 1
,,,,,,,,,,Izzet, 1, 3, 0.02, 15, 5.00, 0.50, 0, 1
,,,,,,,,,,Grixis, 4, 6, 0.03, 17, 2.83, 0.31, 0, 1
,,,,,,,,,,Temur, 1, 2, 0.01, 9, 4.50, 0.50, 0, 1
,,,,,,,,,,Mono White, 1, 2, 0.01, 3, 1.50, 0.17, 0, 0
,,,,,,,,,,Mono Blue, 0, 0, 0.00, 0, 0, 0, 0, 0
,,,,,,,,,,Mono Black, 0, 0, 0.00, 0, 0, 0, 0, 0
,,,,,,,,,,Mono Green, 0, 0, 0.00, 0, 0, 0, 0, 0
,,,,,,,,,,Dimir, 0, 0, 0.00, 0, 0, 0, 0, 0
,,,,,,,,,,Gruul, 0, 0, 0.00, 0, 0, 0, 0, 0
,,,,,,,,,,Selesnya, 0, 0, 0.00, 0, 0, 0, 0, 0
,,,,,,,,,,Orzhov, 1, 1, 0.01, 0, 0.00, 0.00, 0, 0
,,,,,,,,,,Naya, 1, 1, 0.01, 3, 3.00, 0.33, 0, 0
,,,,,,,,,,WBRG, 1, 5, 0.03, 12, 2.40, 0.27, 0, 0
