Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, Top Cuts, 2-X or better Count, Colors, Archetypes, Nicknames
Citadel Storm, 27, 8, 156, 5.78, 0.61, 0.61, 3, 5, 20, WUB, "combo", ""
WUBR Control, 38, 8, 169, 4.45, 0.49, 0.53, 4, 4, 17, WUBR, "control", "Sans Green Control, Grixis White, Jeskai Black, Esper Red"
Jeskai Control, 26, 10, 131, 5.04, 0.53, 0.65, 6, 8, 12, WUR, "control", ""
Bant Vault, 18, 6, 124, 6.89, 0.66, 0.75, 7, 9, 12, WUG, "combo, midrange", ""
Flash Hulk, 13, 8, 84, 6.46, 0.67, 0.68, 3, 4, 10, WUBG, "combo", ""
Boros Death and Taxes, 15, 7, 78, 5.20, 0.55, 0.56, 2, 3, 8, WR, "aggro, midrange", "Blood and Taxes"
Broodlord Storm, 9, 1, 51, 5.67, 0.61, 0.68, 2, 2, 7, WUBR, "combo", ""
Academy Combo, 15, 10, 63, 4.20, 0.46, 0.45, 0, 1, 6, WUBRG, "combo", "Paradox Academy"
Sultai Midrange, 13, 4, 55, 4.23, 0.46, 0.48, 0, 1, 6, UBG, "midrange", "BUG Midrange, Sultai Delirium"
Esper Midrange, 10, 6, 52, 5.20, 0.54, 0.58, 0, 2, 6, WUB, "midrange", "Esper Blink, Esper Stoneblade"
Jeskai Black Aggro, 7, 1, 48, 6.86, 0.73, 0.73, 3, 3, 6, WUBR, "aggro", ""
WUBG Vault, 6, 3, 45, 7.50, 0.75, 0.75, 2, 2, 5, WUBG, "combo", "Sans Red Vault"
Jund Midrange, 11, 8, 52, 4.73, 0.51, 0.54, 0, 1, 5, BRG, "midrange", "Jund Pyromancer"
Czech Midrange, 7, 5, 27, 3.86, 0.43, 0.47, 0, 0, 4, UBRG, "midrange", "Sans White Midrange"
Rakdos Midrange, 6, 3, 31, 5.17, 0.57, 0.61, 0, 0, 4, BR, "midrange", "Black Moon"
Esper Time Vault, 4, 2, 33, 8.25, 0.85, 0.82, 2, 2, 4, WUB, "combo", "Esper Vault"
Temur Scapeshift Turns, 6, 3, 24, 4.00, 0.44, 0.41, 0, 0, 3, URG, "combo", ""
WUBG Nadu Walk, 15, 5, 50, 3.33, 0.37, 0.36, 0, 0, 3, WUBG, "combo, midrange", "Nadu Seeker Walk"
Jeskai Tempo, 7, 2, 31, 4.43, 0.47, 0.52, 0, 1, 3, WUR, "tempo", ""
