Date, Players, Unique Decks, Winner, Winning Deck
January 11, 18, 15, Raicune, Jeskai Control
January 18, 14, 14, Parrot Robar, Flash Hulk
January 25, 11, 10, Regorn, WUBG Vault
February 1, 11, 10, Regorn, WUBG Vault
February 8, 16, 14, Demondrinkingtea, UW Control
February 15, 18, 18, Regorn, Bant Vault
February 22, 12, 11, Regorn, Bant Vault
March 1, 16, 14, Regorn, Bant Vault
March 8, 11, 10, Harju, Citadel Storm
March 15, 18, 17, Regorn, Bant Vault
March 22, 17, 16, Some user zoe, Broodlord Storm
April 5, 14, 11, kelvin, Flash Hulk
April 19, 9, 8, kelvin, Flash Hulk
April 26, 8, 7, Cyclopes8, Boros Death and Taxes
May 3, 14, 14, Impulse, Jeskai Control
May 10, 10, 10, Raicune, Citadel Storm
May 17, 14, 13, Regorn, Jeskai Control
May 24, 16, 14, Impulse, Esper Red
May 31, 12, 10, Impulse, Esper Red
June 7, 15, 15, Yeti, Boros Death and Taxes
June 14, 8, 8, Some user zoe, Orzhov Death and Taxes
June 21, 8, 8, Cymbalman, WUBG Nadu
June 28, 14, 14, Regorn, Bant Vault
July 5, 10, 9, JWyatt, Jeskai Control
July 12, 18, 17, JWyatt, Jeskai Control
July 19, 16, 16, V, WUBG Seeker Walk
July 26, 14, 11, Regorn, Bant Vault
August 2, 9, 8, Some user zoe, Broodlord Storm
August 9, 11, 11, Waspls, Jeskai Black Aggro
August 16, 11, 10, Waspls, Jeskai Black Aggro
August 23, 15, 13, JWyatt, Jeskai Control
August 30, 13, 11, Waspls, Jeskai Black Aggro
September 6, 16, 14, Raicune, Grixis Reanimator
September 13, 9, 9, Regorn, Esper Red
September 20, 15, 14, Regorn, Esper Time Vault
September 27, 13, 12, Calhove, Naya Midrange
October 4, 9, 9, Purukogi, Esper Time Vault
October 11, 14, 14, Goyf, Citadel Storm
October 18, 13, 12, kelvin, Bant Vault
