October 4,,,,,,,,,,9 Players
,,,,,,,,,,
New Players, "Arthur",,,,,,,,,Decks
New Decks, "Mono White Midrange, Naya Monsters",,,,,,,,,
Player Personal Best, "Purukogi 3-0",,,,,,,,,3 - 0, Esper Time Vault
Deck New Best, "",,,,,,,,,,
Positive Streaks (Weeks), "Purukogi (3), V (2), Calhove (2)",,,,,,,,,2 - 0 - 1, Dimir Tempo
,,,,,,,,,,
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,2 - 1, Boros Death and Taxes
Combo, 2, 2, 0.22, 12, 6.00, 0.67, 1, 1,,
Aggro-Midrange, 1, 1, 0.11, 6, 6.00, 0.67, 0, 1,,1 - 1 - 1, WURG Scapeshift
Combo-Control, 1, 1, 0.11, 4, 4.00, 0.44, 0, 0,,
Control-Midrange, 1, 1, 0.11, 3, 3.00, 0.33, 0, 0,,1 - 2, Eggs
Midrange, 1, 1, 0.11, 3, 3.00, 0.33, 0, 0,,, Jeskai Black
Aggro, 1, 1, 0.11, 3, 3.00, 0.33, 0, 0,,, WURG Midrange
Tempo, 1, 1, 0.11, 7, 7.00, 0.78, 0, 1,,, Mono White Midrange
Control, 1, 1, 0.11, 3, 3.00, 0.33, 0, 0,,, Naya Monsters

Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
WURG, 3, 3, 0.33, 10, 3.33, 0.37, 0, 0
Mono White, 1, 1, 0.11, 3, 3.00, 0.33, 0, 0
Dimir, 1, 1, 0.11, 7, 7.00, 0.78, 0, 1
Boros, 1, 1, 0.11, 6, 6.00, 0.67, 0, 1
Esper, 1, 1, 0.11, 9, 9.00, 1.00, 1, 1
Naya, 1, 1, 0.11, 3, 3.00, 0.33, 0, 0
WUBR, 1, 1, 0.11, 3, 3.00, 0.33, 0, 0

Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
White, 8, 8, 0.89, 34, 4.25, 0.47, 1, 2
Blue, 6, 6, 0.67, 29, 4.83, 0.54, 1, 2
Black, 3, 3, 0.33, 19, 6.33, 0.70, 1, 2
Red, 6, 6, 0.67, 22, 3.67, 0.41, 0, 1
Green, 4, 4, 0.44, 13, 3.25, 0.36, 0, 0
