Explanation
Cell: rows winrate vs column
Example: C7: row 7 vs column C
Green: winrate >= .65
Yellow: winrate <= .35
,Esper Red,Jeskai Control,Citadel Storm,WUBG Nadu Walk,Boros Death and Taxes,Bant Vault,Flash Hulk,Academy Combo,Sultai Midrange,Jund Midrange,Esper Midrange,Sans Red Control,Rakdos Aggro,UW Control,Broodlord Storm,WUBG Nadu,Grixis Midrange,Jeskai Black,Czech Midrange,Blue Moon,Jeskai Black Aggro,Temur Scapeshift Turns,WUBG Vault,Yawgmoth's Will Storm,Rakdos Midrange,WURG Scapeshift,Affinity Pod,4C Blood,Abzan Tokens,Jeskai Tempo,Death and Taxes,Sultai Control,Unknown,WUBG Seeker Walk,Sultai Reanimator,Lotus Breach Storm,Mono Red Goblins,Abzan Midrange,Dimir Tempo,Orzhov Death and Taxes,Mardu Tokens,Naya Midrange,Czech Control,Mono Red Bots,WUBG Oath Control,Golgari Aggro,Mardu Midrange,Rakdos Goblins,WURG Midrange,WUBG Midrange,Grixis Moon,WUBG OmniTell,Esper Time Vault,Bant Academy,Czech Scapeshift,WUBG Nadu Control,Jeskai Midrange,Jeskai Welder,Sultai Lowrange,Esper Control,5C Superfriends Omnitell,Abzan Aggro,Simic Slaw,Golgari Midrange,Mardu Initiative,Temur Midrange,WUBG Flash Rector,Jund Aggro,Naya Aggro,Red Deck Wins,Sultai Storm,Mono Green Eldrazi,Mardu Aggro,Jeskai Wildfires,Jeskai Taxes,Lotusless Breach Storm,Eggs,Naya Counters,Grixis Control,5C Artifact Combo,Abzan Brewmaster,Boros Aggro,Mardu Bots,Grixis Welder,Bant Nadu,Grixis Artifact Midrange,Esper Reanimator,Abzan Time Vault,Orzhov Necro,5C Aggro,Golgari Hoof,5C Paradoxical Outcome,Boros Midrange,Bant Flash Rector,Dimir Reanimator,Naya Landfall Aggro,WUBR Reanimator,Bant Seeker Walk,The Rock,Pattern Rector,Bant Painter Control,Temur Tempo,Sultai Reanimator Control,Selesnya Aggro,Bant Control,Jund Lands,Grixis Tinker,Jeskai Slushie,Amulet Titan,Jeskai Artifact Midrange,Golgari Yawgmoth,Orzhov Midrange,4C Cascade,Grixis Reanimator,Grixis Thoracle,WUBG Oath Lands,Selesnya Cauldron,Mono White Midrange,Naya Monsters
Esper Red,,0.00,0.00,0.80,0.67,0.17,1.00,0.00,0.00,0.67,0.50,0.40,0.00,1.00,0.00,0.50,1.00,,1.00,,,1.00,0.50,1.00,0.47,0.50,,0.00,1.00,,,1.00,,,,0.00,,1.00,,,,,,1.00,,,,,0.00,,0.00,0.33,,,1.00,,,,,,,0.00,,1.00,,,,,1.00,,,1.00,,,0.00,1.00,,,,,,,,,,,0.33,,,,,,,1.00,,0.00,,,,,,,,1.00,,,,,,,,1.00,,,,,,,
Jeskai Control,1.00,,0.50,1.00,1.00,0.00,0.33,,1.00,0.67,1.00,1.00,0.50,1.00,0.00,0.00,,,0.33,0.67,1.00,,0.50,0.00,0.67,,1.00,1.00,,0.67,,,1.00,0.00,,,,,0.00,,,0.00,,,,,1.00,1.00,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,0.50,,,1.00,0.33,,,,,,0.33,,,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,0.00,,,,1.00,,
Citadel Storm,1.00,0.50,,1.00,0.00,0.50,1.00,1.00,0.20,0.33,0.00,1.00,0.00,1.00,1.00,1.00,,0.00,1.00,0.00,0.00,0.00,0.00,,1.00,1.00,,1.00,,,1.00,0.00,,,,,,1.00,,1.00,1.00,0.00,1.00,,,,,,,,,,0.00,,1.00,,0.00,,1.00,,,0.00,1.00,,,,,,,,1.00,0.00,0.00,0.00,1.00,,1.00,,,,,,,,,1.00,,,,,,,,,,,,,,,1.00,1.00,,,,,1.00,,,,,,,,,1.00,,,
WUBG Nadu Walk,0.20,0.00,0.00,,0.00,0.00,0.00,0.50,,,0.00,1.00,0.67,0.50,,,,,,,,,0.00,,0.00,,,1.00,,0.00,,1.00,,,,0.00,,,,0.00,,,,1.00,0.00,,,,,,,,,,,,,,,1.00,,1.00,,0.00,,1.00,,,,1.00,,,,,,,,,,,0.00,,,,0.33,,,,,,0.00,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Boros Death and Taxes,0.33,0.00,1.00,1.00,,0.50,0.67,,1.00,,,,,,0.00,0.00,1.00,,,,0.00,,,,0.00,0.50,0.50,,1.00,,,,,,,,1.00,,,,,,1.00,,,,0.50,0.00,1.00,,1.00,0.00,,,,,,,,,,,,,,1.00,0.00,,1.00,,1.00,,,,,,0.00,,,,,,,,,,,,,,,,,,1.00,1.00,,,,,,,,,,,,,,,,,,0.00,,,,,1.00
Bant Vault,0.67,1.00,0.50,1.00,0.50,,0.00,1.00,,,1.00,,,1.00,,,1.00,,1.00,1.00,0.00,,,1.00,,0.00,,,1.00,,,,,1.00,,1.00,1.00,,,,,,,,,,,,,,,0.50,,,,1.00,,,,1.00,,0.00,1.00,,,,,,,1.00,,,0.50,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,
Flash Hulk,0.00,0.67,0.00,1.00,0.33,1.00,,1.00,1.00,1.00,0.67,,1.00,,1.00,1.00,,,,,,1.00,,,,,,,,,,,,,,,1.00,,,,1.00,0.00,0.00,,,,,,1.00,,,,1.00,,,1.00,,,0.50,,,,,,,,1.00,,,,,,,,,0.00,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,
Academy Combo,1.00,,0.00,0.50,,0.00,0.00,,1.00,0.00,0.33,1.00,,,,,0.00,,,,0.00,,1.00,,,,,,0.50,,1.00,,,,,,0.00,,,0.00,,0.00,,0.00,0.00,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,1.00,,1.00,,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,,,,,,,,,,
Sultai Midrange,1.00,0.00,0.80,,0.00,,0.00,0.00,,,0.00,0.00,,0.33,0.00,,,,,,,0.00,,1.00,,,1.00,,,,,,,,1.00,,,,1.00,0.00,,0.00,,0.00,,,1.00,,,,,1.00,,,,,,,,,1.00,,,,,,,,,,,,,1.00,,,,,,,0.00,,,,,,,,,,,,,,,,,,1.00,,,,,,1.00,0.00,,,,,,,,,,,,,
Jund Midrange,0.33,0.33,0.67,,,,0.00,1.00,,,0.00,0.33,,,,,,,,,,1.00,,,,0.50,1.00,,1.00,1.00,,,,0.00,,0.00,,,1.00,,,,1.00,,,,,,,1.00,,,,,,0.00,,1.00,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
