Name, Events, Unique Decks, Total Points, Average Points, Winrate, Trophies, Top Cuts, 2-X or better Count, Longest Positive Record Streak, Most Played Decks
Cyclopes8, 4, 3, 27, 6.75, 0.69, 0, 1, 4, 4, "Bant Academy, Abzan Tokens, Abzan Brewmaster"
Raicune, 2, 2, 21, 10.50, 0.88, 1, 2, 2, 2, "Jeskai Midrange, Citadel Storm"
Harju, 2, 2, 15, 7.50, 0.71, 0, 1, 2, 2, "Jeskai Midrange, Jund Midrange"
Purukogi, 3, 2, 15, 5.00, 0.56, 0, 0, 2, 1, "WUBG Nadu, Citadel Storm"
GenghisPrawn, 3, 2, 15, 5.00, 0.56, 0, 0, 2, 2, "Esper Red, UBRG Control"
Regorn, 2, 1, 24, 12.00, 1.00, 2, 2, 2, 2, "WUBG Vault"
hyunkim87, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "Temur Taking Turns"
Cat_Island, 2, 1, 9, 4.50, 0.50, 0, 0, 1, 1, "WUBG Vault"
Cowsmoogo, 2, 1, 12, 6.00, 0.57, 0, 1, 1, 1, "Rakdos Aggro"
Parrot robar, 3, 2, 15, 5.00, 0.50, 1, 1, 1, 1, "Flash Hulk, Sultai Lowrange"
Cymbalman, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "WUBG Nadu Control"
JadedTrekkie, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "Paradox Academy"
Anticipate27, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "Citadel Storm"
TherealEMT, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "WUBG Oath Control"
George, 1, 1, 6, 6.00, 0.67, 0, 0, 1, 1, "Paradox Academy"
Eagleandwolf, 1, 1, 4, 4.00, 0.44, 0, 0, 0, 0, "Czech Scapeshift"
Zenteca, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Naya Counters"
Lahdoja, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Grixis Midrange"
Demondrinkingtea, 4, 1, 7, 1.75, 0.19, 0, 0, 0, 0, "Azorius Control"
Minstrel, 4, 3, 6, 1.50, 0.17, 0, 0, 0, 0, "Yawgmoth's Will Storm, Grixis Control, Sultai Midrange"
JWyatt, 2, 1, 1, 0.50, 0.06, 0, 0, 0, 0, "Jeskai Midrange"
Some user zoe, 4, 2, 9, 2.25, 0.25, 0, 0, 0, 0, "4C Blood, Broodlord Storm"
Impulse, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "Jeskai Midrange"
Hurrex, 2, 2, 0, 0.00, 0.00, 0, 0, 0, 0, "Unknown, Mono Red Artifact Aggro"
Mrpipes, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "5C Artifact Combo"
Kamal, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Jeskai Welder"
Duckyofdarkness, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Jeskai Black"
Nikheizen, 1, 1, 3, 3.00, 0.33, 0, 0, 0, 0, "Boros Aggro"
Bbvet, 1, 1, 0, 0.00, 0.00, 0, 0, 0, 0, "WUBG Nadu"
