Archetypes,,,,,,,,,,Subarchetypes
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count, Members
Midrange, 84, 327, 0.43, 1514, 4.63, 0.49, 18, 160,,Blue Control, 18, 97, 0.13, 523, 5.39, 0.56, 11, 58, "Jeskai Green, WUBG Oath Control, Czech Scapeshift, Jeskai Black, Temur Control, Blue Moon, Mono Blue Control, Esper Control, Azorius Control, Jeskai Control, Temur Moon, Azorius Moon, Sultai Lands Control, Sultai Control, Esper Red, WUBG Lands Control, Bant Control, Jeskai Moon"
Combo, 75, 311, 0.41, 1334, 4.29, 0.46, 11, 141,,Blue Midrange, 9, 63, 0.08, 378, 6.00, 0.61, 14, 35, "Jeskai Midrange, Sultai Midrange, WUBG Midrange, Czech Midrange, Bant Midrange, Temur Midrange, Grixis Midrange, 5C Blue Midrange, Grixis White Midrange"
Aggro, 20, 129, 0.17, 670, 5.19, 0.55, 8, 77,,Death and Taxes, 4, 46, 0.06, 255, 5.54, 0.58, 2, 31, "Death and Taxes, Boros Death and Taxes, Humans and Taxes, Orzhov Humans and Taxes"
Control, 26, 112, 0.15, 585, 5.22, 0.54, 12, 65,,Thoracle, 9, 28, 0.04, 142, 5.07, 0.56, 0, 19, "Esper Thoracle, Grixis Thoracle, UBRG Thoracle, Sultai Thoracle, Sultai Doomsday, Esper Doomsday, Grixis Tempo Doomsday, Esper Reanimator Thoracle, Dimir Doomsday"
Tempo, 11, 31, 0.04, 143, 4.61, 0.51, 2, 15,,Initiative Midrange, 9, 29, 0.04, 129, 4.45, 0.47, 0, 13, "Jund Initiative, Naya Initiative, Esper Initiative, WBRG Initiative, WURG Initiative, 4C Initiative, WUBG Seeker Initiative, Mardu Initiative, WUBG Initiative"
Stax, 6, 11, 0.01, 37, 3.36, 0.37, 0, 3,,Time Vault, 3, 22, 0.03, 101, 4.59, 0.50, 0, 10, "Esper Time Vault, Jeskai Vault, Bant Vault"
,,,,,,,,,,Reanimator, 5, 22, 0.03, 104, 4.73, 0.50, 2, 10, "Grixis Reanimator, Grixis Tinker Reanimator, Esper Reanimator, Esper Reanimator Thoracle, Abzan Lands Reanimator"
note: archetype metagame share percentages don't add up to 100% because some decks span multiple archetypes,,,,,,,,,,Seeker Walk, 5, 19, 0.02, 65, 3.42, 0.37, 0, 7, "WURG Seeker Walk, 5C Seeker Walk, WUBG Seeker Initiative, Bant Seeker Walk, WUBG Seeker Walk"
,,,,,,,,,,Birthing Pod, 5, 17, 0.02, 66, 3.88, 0.42, 0, 7, "Naya Pod, 4C Pod, Pattern Rector, 4C Blink Pod, WURG Pod"
,,,,,,,,,,Blue Moon, 4, 16, 0.02, 69, 4.31, 0.47, 0, 7, "Blue Moon, Temur Moon, Azorius Moon, Jeskai Moon"
,,,,,,,,,,Breach Storm, 3, 16, 0.02, 66, 4.13, 0.44, 1, 6, "Lotusless Breach Storm, Lotus Breach Storm, Doomsday Breach"
,,,,,,,,,,Welder, 4, 11, 0.01, 43, 3.91, 0.42, 1, 4, "Jeskai Welder, Grixis Welder, 4C Welder, WUBR Welder"
,,,,,,,,,,Goblins, 4, 10, 0.01, 39, 3.90, 0.43, 1, 3, "Jund Goblins, Death and Goblins, Rakdos Goblins, Mono Red Goblins"
,,,,,,,,,,Lands, 8, 12, 0.02, 27, 2.25, 0.25, 0, 2, "Abzan Lands, WURG Lands Midrange, 5C Lands Combo, Sultai Lands Control, Abzan Lands Reanimator, 5C Thoracle Lands Enchantress, WUBG Lands Control, Golgari Lands"
,,,,,,,,,,Aristocrats, 3, 5, 0.01, 21, 4.20, 0.47, 0, 2, "Jund Aristocrats, Abzan Aristocrats, WBRG Aristocrats"
,,,,,,,,,,Enchantress, 6, 7, 0.01, 15, 2.14, 0.24, 0, 0, "Bant Enchantress, Naya Enchantress, Abzan Enchantress, WUBG Enchantress, 5C Thoracle Lands Enchantress, Selesnya Enchantress"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Exact Archetypes
,,,,,,,,,,Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
,,,,,,,,,,Midrange, 61, 209, 0.27, 1005, 4.81, 0.51, 16, 101
,,,,,,,,,,Combo, 42, 199, 0.26, 846, 4.25, 0.45, 7, 87
,,,,,,,,,,Aggro, 15, 94, 0.12, 517, 5.50, 0.57, 7, 59
,,,,,,,,,,Control, 16, 63, 0.08, 346, 5.49, 0.57, 9, 36
,,,,,,,,,,Combo-Midrange, 19, 67, 0.09, 271, 4.04, 0.44, 1, 29
,,,,,,,,,,Aggro-Midrange, 2, 26, 0.03, 117, 4.50, 0.49, 0, 15
,,,,,,,,,,Control-Midrange, 2, 25, 0.03, 121, 4.84, 0.50, 1, 15
,,,,,,,,,,Combo-Control, 7, 23, 0.03, 118, 5.13, 0.55, 2, 14
,,,,,,,,,,Tempo, 9, 21, 0.03, 92, 4.38, 0.48, 2, 8
,,,,,,,,,,Combo-Tempo, 2, 10, 0.01, 51, 5.10, 0.57, 0, 7
,,,,,,,,,,Aggro-Combo, 3, 9, 0.01, 36, 4.00, 0.44, 1, 3
,,,,,,,,,,Stax, 3, 7, 0.01, 25, 3.57, 0.40, 0, 2
,,,,,,,,,,Combo-Stax, 2, 3, 0.00, 12, 4.00, 0.44, 0, 1
