Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, Top Cuts, 2-X or better Count, Colors, Archetypes, Nicknames
Academy Combo, 28, 8, 132, 4.71, 0.49, 0.51, 2, 4, 14, WUBRG, "combo", "Paradox Academy"
Cephalid Breakfast, 11, 2, 69, 6.27, 0.66, 0.66, 2, 3, 9, WUBG, "combo", "Nadu Breakfast"
Esper Red, 11, 2, 71, 6.45, 0.66, 0.69, 3, 4, 8, WUBR, "control", ""
Naya Aggro, 6, 1, 36, 6.00, 0.63, 0.63, 0, 1, 5, WRG, "aggro", ""
Esper Midrange, 6, 5, 36, 6.00, 0.63, 0.61, 1, 2, 4, WUB, "midrange", "Esper Blink, Esper Stoneblade"
Citadel Storm, 8, 4, 39, 4.88, 0.54, 0.52, 0, 1, 4, WUB, "combo", ""
Abzan Midrange, 6, 3, 30, 5.00, 0.56, 0.61, 0, 0, 4, WBG, "midrange", "Abzan Nightmare, Abzan Delirium"
Dimir Tempo, 5, 3, 27, 5.40, 0.60, 0.54, 0, 0, 4, UB, "tempo", ""
Naya Midrange, 3, 2, 21, 7.00, 0.70, 0.67, 0, 1, 3, WRG, "midrange", ""
Jeskai Black, 5, 3, 30, 6.00, 0.63, 0.69, 1, 1, 3, WUBR, "control", ""
Golgari Aggro, 7, 1, 27, 3.86, 0.43, 0.40, 0, 0, 3, BG, "", "Golgari Monsters"
Lotus Breach Storm, 5, 3, 21, 4.20, 0.47, 0.50, 0, 0, 3, WUBRG, "combo", ""
Tin Fins, 5, 1, 30, 6.00, 0.63, 0.63, 1, 1, 3, WUBRG, "combo", ""
Mono-Black Moon, 6, 1, 30, 5.00, 0.53, 0.57, 0, 1, 3, BR, "midrange", ""
Azorius Tempo, 5, 2, 27, 5.40, 0.56, 0.58, 1, 2, 3, WU, "tempo", ""
Grixis Midrange, 6, 4, 24, 4.00, 0.42, 0.44, 0, 1, 2, UBR, "midrange", ""
Oath Turns, 5, 1, 25, 5.00, 0.52, 0.45, 0, 1, 2, UBG, "combo", ""
Grixis Moon, 4, 3, 27, 6.75, 0.64, 0.67, 1, 2, 2, UBR, "midrange", ""
Esper Reanimator, 5, 4, 18, 3.60, 0.40, 0.42, 0, 0, 2, WUB, "combo", ""
Golgari Midrange, 5, 3, 21, 4.20, 0.44, 0.38, 0, 1, 2, BG, "midrange", ""
WUBG Oath Control, 5, 4, 21, 4.20, 0.44, 0.47, 0, 1, 2, WUBG, "combo, control", ""
Jeskai Prison Stompy, 5, 1, 21, 4.20, 0.47, 0.47, 0, 0, 2, WUR, "stax, midrange", ""
WUBR Control, 2, 1, 12, 6.00, 0.67, 0.60, 0, 0, 2, WUBR, "control", "Sans Green Control"
Sans Red Control, 3, 2, 15, 5.00, 0.56, 0.56, 0, 0, 2, WUBG, "control", ""
Selesnya Lands Midrange, 4, 1, 24, 6.00, 0.57, 0.78, 2, 2, 2, WG, "combo, midrange", ""
Grixis Thoracle, 2, 1, 12, 6.00, 0.67, 0.67, 0, 0, 2, UBR, "combo, tempo", ""
Omni Tinker, 3, 1, 15, 5.00, 0.56, 0.50, 0, 0, 2, WUBG, "combo", ""
Sultai Lowrange, 2, 1, 15, 7.50, 0.71, 0.71, 1, 1, 1, UBG, "midrange", ""
Mardu Tokens, 4, 2, 15, 3.75, 0.42, 0.36, 0, 0, 1, WBR, "midrange", ""
Death and Taxes, 2, 2, 6, 3.00, 0.33, 0.50, 0, 0, 1, W, "aggro, midrange", "DnT"
Jund Artifacts, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, BRG, "midrange", ""
WUBR Slushie, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBR, "combo, midrange", ""
Jeskai Green, 2, 2, 9, 4.50, 0.50, 0.40, 0, 0, 1, WURG, "control, midrange", "Spearmint, Jeskai Green, Hot Bant, 4C Omnath"
Simic Slaw, 3, 2, 18, 6.00, 0.60, 0.67, 1, 1, 1, UG, "control", ""
Bant Seeker Walk, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUG, "combo, midrange", ""
Mardu Prison Stompy, 2, 2, 9, 4.50, 0.50, 0.50, 0, 0, 1, WBR, "stax, midrange", ""
Bant Nadu, 3, 2, 12, 4.00, 0.40, 0.50, 1, 1, 1, WUG, "midrange, combo", ""
Gruul Aggro, 3, 1, 12, 4.00, 0.44, 0.43, 0, 0, 1, RG, "aggro", "RG Aggro"
Unknown, 13, 11, 19, 1.46, 0.16, 0.18, 0, 0, 1, , "", ""
Jund Midrange, 2, 1, 6, 3.00, 0.33, 0.40, 0, 0, 1, BRG, "midrange", "Jund Pyromancer"
Blue Moon Bots, 2, 1, 9, 4.50, 0.50, 0.50, 0, 0, 1, UR, "midrange", ""
Bant Slaw, 3, 2, 10, 3.33, 0.33, 0.42, 0, 1, 1, WUG, "midrange", ""
Boros Prison, 3, 1, 9, 3.00, 0.33, 0.33, 0, 0, 1, WR, "stax", ""
Esper Control, 3, 1, 12, 4.00, 0.44, 0.38, 0, 0, 1, WUB, "control", ""
Yawgmoth's Will Storm, 2, 1, 18, 9.00, 0.75, 0.75, 1, 1, 1, WUBRG, "combo", ""
Abzan Aggro, 3, 2, 6, 2.00, 0.22, 0.25, 0, 0, 1, WBG, "aggro", "Abzan Hatebears, Abzan Lowrange"
