September 14,,,,,,,,,,11 Players
,,,,,,,,,,
New Players, "Agent garbo",,,,,,,,,Decks
New Decks, "4C Cascade",,,,,,,,,
Player Personal Best, "Thegibber 2-1",,,,,,,,,4 - 0, Lotus Breach Storm
Deck New Best, "Lotus Breach Storm 4-0",,,,,,,,,
Positive Streaks (Weeks), "kelvin (3), Halfdan (3), UntitledUserName (2)",,,,,,,,,3 - 1, Dimir Tempo
,,,,,,,,,,
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,2 - 1, Jund Midrange
Combo, 3, 3, 0.27, 21, 7.00, 0.70, 1, 2,,, 4C Cascade
Combo-Control, 2, 2, 0.18, 9, 4.50, 0.50, 0, 1,,, WURG Slushie
Midrange, 2, 2, 0.18, 6, 3.00, 0.33, 0, 1,,
Aggro, 1, 1, 0.09, 0, 0.00, 0.00, 0, 0,,1 - 2, Blue Moon
Tempo, 1, 1, 0.09, 9, 9.00, 0.75, 0, 1,,, WURG Scapeshift
Control, 1, 1, 0.09, 3, 3.00, 0.33, 0, 0,,, Bant Nadu
,,,,,,,,,,, Academy Combo
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,
WURG, 3, 3, 0.27, 15, 5.00, 0.56, 0, 2,,0 - 3, Rakdos Aggro
5 Color, 2, 2, 0.18, 15, 7.50, 0.71, 1, 1,,, Esper Midrange
Dimir, 1, 1, 0.09, 9, 9.00, 0.75, 0, 1
Rakdos, 1, 1, 0.09, 0, 0.00, 0.00, 0, 0
Izzet, 1, 1, 0.09, 3, 3.00, 0.33, 0, 0
Esper, 1, 1, 0.09, 0, 0.00, 0.00, 0, 0
Jund, 1, 1, 0.09, 6, 6.00, 0.67, 0, 1
Bant, 1, 1, 0.09, 3, 3.00, 0.33, 0, 0

Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
White, 7, 7, 0.64, 33, 4.71, 0.50, 1, 3
Blue, 9, 9, 0.82, 45, 5.00, 0.52, 1, 4
Black, 6, 6, 0.55, 30, 5.00, 0.50, 1, 3
Red, 8, 8, 0.73, 39, 4.88, 0.52, 1, 4
Green, 7, 7, 0.64, 39, 5.57, 0.59, 1, 4
