Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, Top Cuts, 2-X or better Count, Colors, Archetypes, Nicknames
5C Superfriends, 39, 2, 181, 4.64, 0.48, 0.48, 1, 7, 18, WUBRG, "combo", "5C Walker Omnitell"
Jeskai Control, 21, 6, 166, 7.90, 0.77, 0.79, 8, 9, 17, WUR, "control", ""
Jeskai Midrange, 28, 8, 201, 7.18, 0.69, 0.70, 11, 11, 16, WUR, "midrange", ""
Humans and Taxes, 18, 2, 129, 7.17, 0.69, 0.70, 2, 7, 15, W, "aggro", ""
Gruul Monsters, 17, 6, 102, 6.00, 0.61, 0.61, 1, 5, 13, RG, "aggro", ""
Jund Midrange, 17, 4, 96, 5.65, 0.59, 0.60, 0, 3, 12, BRG, "midrange", "Jund Pyromancer"
Jeskai Green, 17, 8, 87, 5.12, 0.51, 0.54, 1, 5, 10, WURG, "control, midrange", "Spearmint, Jeskai Green, Hot Bant, 4C Omnath"
Death and Taxes, 17, 7, 75, 4.41, 0.48, 0.48, 0, 1, 9, W, "aggro, midrange", "DnT"
Naya Winota, 10, 2, 63, 6.30, 0.66, 0.63, 0, 2, 9, WRG, "midrange", ""
Red Deck Wins, 14, 4, 81, 5.79, 0.57, 0.59, 2, 4, 8, R, "aggro", "Burn, Mono Red Aggro, RDW"
Czech Scapeshift, 8, 3, 57, 7.13, 0.73, 0.75, 1, 2, 8, UBRG, "combo, control", ""
Czech Midrange, 14, 4, 75, 5.36, 0.54, 0.55, 2, 3, 7, UBRG, "midrange", "Sans White Midrange"
Grixis Thoracle, 9, 1, 48, 5.33, 0.59, 0.59, 0, 0, 7, UBR, "combo, tempo", ""
Flash Hulk, 14, 4, 72, 5.14, 0.55, 0.54, 2, 2, 7, WUBG, "combo", ""
Jeskai Vault, 16, 4, 67, 4.19, 0.46, 0.43, 0, 1, 6, WUR, "combo, midrange", ""
Temur Taking Turns, 8, 2, 39, 4.88, 0.54, 0.54, 0, 0, 6, URG, "combo", ""
Boros Death and Taxes, 7, 3, 33, 4.71, 0.52, 0.50, 0, 0, 5, WR, "aggro, midrange", "Blood and Taxes"
Naya Initiative, 11, 4, 51, 4.64, 0.47, 0.48, 0, 2, 5, WRG, "midrange", ""
Temur Moon, 9, 5, 42, 4.67, 0.50, 0.52, 0, 1, 5, URG, "control", "RUG Moon"
WURG Seeker Walk, 12, 7, 41, 3.42, 0.37, 0.41, 0, 1, 4, WURG, "combo, midrange", "Spearmint Seeker, 4C Seeker Walk, Sans Black Seeker"
Paradox Academy, 13, 5, 48, 3.69, 0.41, 0.39, 0, 0, 4, WURG, "combo", ""
Grixis Reanimator, 10, 6, 39, 3.90, 0.42, 0.43, 0, 1, 4, UBR, "combo", ""
Jeskai Black, 5, 2, 24, 4.80, 0.53, 0.54, 0, 0, 4, WUBR, "control, midrange", ""
Rakdos Midrange, 6, 2, 24, 4.00, 0.44, 0.47, 0, 0, 3, BR, "midrange", "Black Moon"
Naya Pod, 5, 3, 24, 4.80, 0.50, 0.50, 0, 1, 3, WRG, "combo", ""
Lotusless Breach Storm, 7, 3, 30, 4.29, 0.48, 0.45, 0, 0, 3, WUBRG, "combo", ""
Sultai Midrange, 5, 2, 22, 4.40, 0.49, 0.49, 0, 0, 3, UBG, "midrange", "BUG Midrange"
Mono Black Aggro, 4, 1, 18, 4.50, 0.50, 0.60, 0, 0, 3, B, "aggro", "Sui Black"
Eggs, 9, 5, 31, 3.44, 0.38, 0.36, 0, 0, 3, WURG, "combo", ""
Medium Red, 8, 4, 34, 4.25, 0.47, 0.49, 0, 0, 3, R, "aggro", ""
Sultai Doomsday, 4, 2, 21, 5.25, 0.58, 0.58, 0, 0, 3, UBG, "combo", "BUG Doomsday"
UBRG Thoracle, 3, 2, 18, 6.00, 0.67, 0.67, 0, 0, 3, UBRG, "combo, midrange", "Sans White Thoracle"
Black Mold, 4, 1, 18, 4.50, 0.50, 0.55, 0, 0, 3, BG, "aggro", "Black Mould"
Gruul Aggro, 7, 4, 30, 4.29, 0.45, 0.45, 0, 1, 3, RG, "aggro", "RG Aggro"
Abzan Midrange, 6, 2, 25, 4.17, 0.46, 0.40, 0, 0, 3, WBG, "midrange", ""
Atraxa and Taxes, 8, 4, 32, 4.00, 0.44, 0.42, 0, 0, 3, WUBG, "midrange", ""
Grixis Midrange, 4, 2, 21, 5.25, 0.58, 0.58, 0, 0, 3, UBR, "midrange", ""
Esper Reanimator, 6, 2, 39, 6.50, 0.65, 0.63, 2, 2, 3, WUB, "combo", ""
BUGw Natural Order, 4, 2, 22, 5.50, 0.56, 0.56, 0, 1, 3, WUBG, "midrange", ""
Schmedium Red, 3, 1, 21, 7.00, 0.78, 0.78, 1, 1, 3, R, "aggro", ""
Tinker Lotus Doomsday, 3, 1, 18, 6.00, 0.67, 0.67, 0, 0, 3, UB, "combo", ""
Esper Red, 3, 1, 30, 10.00, 0.83, 0.83, 1, 2, 3, WUBR, "control", ""
Pattern Rector, 9, 4, 27, 3.00, 0.33, 0.35, 0, 0, 2, WBG, "combo", "Sandy B"
Mono Blue Control, 3, 2, 15, 5.00, 0.50, 0.50, 0, 1, 2, U, "control", ""
Flash Oath, 3, 3, 24, 8.00, 0.67, 0.67, 1, 2, 2, WUBG, "combo", ""
Lotus Breach Storm, 7, 5, 27, 3.86, 0.39, 0.40, 1, 1, 2, WUBRG, "combo", ""
Esper Thoracle, 5, 1, 19, 3.80, 0.42, 0.38, 0, 0, 2, WUB, "combo, control", ""
Jeskai Welder, 4, 4, 13, 3.25, 0.36, 0.39, 0, 0, 2, WUR, "midrange", "Jeskai Artifact Midrange"
