September 2,,,,,,,,,,12 Players
,,,,,,,,,,
New Players, "Uberlegen",,,,,,,,,Decks
New Decks, "Sultai Control, Tinker Lotus Doomsday, Abzan Enchantress",,,,,,,,,
Player Personal Best, "",,,,,,,,,,4 - 0, Jeskai Control
Deck New Best, "Grixis Reanimator 3-1, Golgari Pox 2-1",,,,,,,,,
Positive Streaks (Weeks), "Cyclopes8 (6), Impulse (2), Minstrel (2)",,,,,,,,,3 - 1, Grixis Reanimator
,,,,,,,,,,
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,2 - 1, Sultai Control
Combo, 5, 5, 0.42, 21, 4.20, 0.44, 0, 2,,, Czech Midrange
Combo-Midrange, 2, 2, 0.17, 3, 1.50, 0.17, 0, 0,,, Golgari Pox
Midrange, 2, 2, 0.17, 9, 4.50, 0.50, 0, 1,,, Tinker Lotus Doomsday
Control, 2, 2, 0.17, 18, 9.00, 0.86, 1, 2,,
Stax, 1, 1, 0.08, 6, 6.00, 0.67, 0, 1,,1 - 2, 5C Superfriends
,,,,,,,,,,, Aluren
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,, Paradox Academy
Jeskai, 2, 2, 0.17, 15, 7.50, 0.71, 1, 1,,, Jeskai Midrange
Dimir, 1, 1, 0.08, 6, 6.00, 0.67, 0, 1,,
Golgari, 1, 1, 0.08, 6, 6.00, 0.67, 0, 1,,0 - 3, Temur Taking Turns
Grixis, 1, 1, 0.08, 9, 9.00, 0.75, 0, 1,,, Abzan Enchantress
Temur, 1, 1, 0.08, 0, 0.00, 0.00, 0, 0
Abzan, 1, 1, 0.08, 0, 0.00, 0.00, 0, 0
Sultai, 1, 1, 0.08, 6, 6.00, 0.67, 0, 1
WUBG, 1, 1, 0.08, 3, 3.00, 0.33, 0, 0
WURG, 1, 1, 0.08, 3, 3.00, 0.33, 0, 0
UBRG, 1, 1, 0.08, 6, 6.00, 0.67, 0, 1
5 Color, 1, 1, 0.08, 3, 3.00, 0.33, 0, 0

Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
White, 6, 6, 0.50, 24, 4.00, 0.42, 1, 1
Blue, 10, 10, 0.83, 51, 5.10, 0.53, 1, 5
Black, 8, 8, 0.67, 39, 4.88, 0.52, 0, 5
Red, 7, 7, 0.58, 36, 5.14, 0.52, 1, 3
Green, 8, 8, 0.67, 27, 3.38, 0.38, 0, 3
