Explanation
Cell: rows winrate vs column
Example: C7: row 7 vs column C
Green: winrate >= .65
Yellow: winrate <= .35
,5C Superfriends,Jeskai Midrange,Jeskai Control,Humans and Taxes,Gruul Monsters,Jund Midrange,Death and Taxes,Jeskai Vault,WURG Omnath,Czech Midrange,Red Deck Wins,WURG Seeker Walk,Flash Hulk,Naya Initiative,Paradox Academy,Naya Winota,Grixis Reanimator,Pattern Rector,Eggs,Grixis Thoracle,Temur Moon,Medium Red,Atraxa and Taxes,Czech Scapeshift,Boros Death and Taxes,Lotusless Breach Storm,Lotus Breach Storm,Unknown,Gruul Cradlehoof,Temur Taking Turns,Rakdos Midrange,Gruul Aggro,Esper Reanimator,Naya Pod,Sultai Midrange,Blue Moon,Jund Initiative,Azorius Control,Esper Thoracle,Aluren,Abzan Midrange,Jeskai Black,Mono Black Aggro,WUBG Midrange,Grixis Welder,Sultai Doomsday,Jeskai Welder,Black Mold,Rakdos Goblins,Boros Equipment,Grixis Midrange,Grixis Tempo,WUBG Oath Control,5C Legends,BUGw Natural Order,Mono Blue Control,Flash Oath,Abzan Lands,Simic Merfolk,Esper Initiative,Jund Goblins,UBRG Thoracle,WBRG Initiative,Dimir Ninjas,Selesnya Legends,Esper Dreadnaught Prison,Medium Boros,WUBG Seeker Walk,Schmedium Red,Flying Men,Golgari Pox,Tinker Lotus Doomsday,Esper Red,Yawgmoth's Will Storm,Esper Time Vault,Bant Enchantress,5C Seeker Walk,Grixis Tinker Reanimator,Temur Midrange,WURG Lands Midrange,Yawgmoth's Jacuzzi,Jeskai Breach,Jund Aristocrats,4C Artifacts,5C Lands Combo,Medium Green,UBRG Welder,Dredge,Esper Reanimator Thoracle,WUBG Food,Abzan Angels,WUBR Welder,Selesnya Angels,Boros Midrange,Orzhov Martyr Proc,WUBG Food Chain,WUBR Tempo,Mardu Initiative,Mono White Martyr Proc,Sultai Control,WUBG Initiative,UBRG Thieves,Doomsday Breach,Temur Control,Boros Tokens,Dimir High Tide,DoomsDragon,Zombies,Esper Control,4C Pod,4C Welder,Red Deck Bins,Bant Midrange,Dead Guy Dragons,Rakdos Pyromancer,Death and Goblins,Sultai Thoracle,Grixis Tempo Doomsday,Esper Doomsday,WURG Initiative,Academy Prison,Orzhov Tokens,The Rock,4C Winota,4C Initiative,Mardu Dead Guy Ale,WURG Tempo,WBRG Aristocrats,Abzan Aristocrats,Orzhov Control,WUBG Seeker Initiative,Azorius Breach,Gruul Ramp,Mono Red Goblins,Channel Mirror,Azorius Moon,Bant Seeker Walk,Dimir Discard,4C Blink Pod,Dimir Doomsday,Temur Lands Walks,Naya Enchantress,Temur Tempo,Sultai High Tide,Golgari Hoof,WURG Pod,Sultai Lands Control,Esper Recurring Nightmare,Mono Blue Shops,Orzhov Humans and Taxes,5C Cascade,5C Blue Midrange,Orzhov Rector Control,4C Blood,Mono Black Midrange,Abzan Lands Reanimator,Dimir Lotus Doomsday,Big Red,Abzan Enchantress,WUBG Enchantress,Pattern Rector Food,5C Thoracle Lands Enchantress,WUBG Lands Control,Mardu Midrange,Dimir Tempo,Bant Control,Izzet Tempo,Hermit Pattern Aluren,Bant Vault,Jeskai Moon,Selesnya Enchantress,Naya Midrange
5C Superfriends,,0.33,0.00,0.00,0.00,0.67,0.33,0.50,0.00,0.50,0.50,0.50,,0.75,0.50,0.00,0.00,1.00,1.00,,1.00,0.00,0.00,0.00,0.00,,1.00,,0.00,,0.00,1.00,0.00,1.00,1.00,,,0.00,0.00,1.00,1.00,,1.00,1.00,1.00,,,1.00,,1.00,1.00,,0.50,,0.11,,0.00,0.00,,,,1.00,,1.00,,,,1.00,0.00,0.00,0.50,0.50,0.00,0.00,,,,,0.00,,0.00,1.00,,1.00,,,,,,,1.00,,,1.00,,,,1.00,,0.00,,,0.50,,0.00,,,1.00,,0.00,,0.00,,,,,,,,,,1.00,,,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,,,,,1.00,,,,0.00,,0.00,1.00,1.00,,,,,,0.00,,,,,1.00,1.00
Jeskai Midrange,0.67,,1.00,0.75,,0.67,0.50,0.60,0.60,0.50,1.00,0.50,,0.80,,0.75,0.50,0.67,,0.50,,1.00,0.00,,1.00,1.00,,,1.00,,1.00,,,1.00,0.50,1.00,,,,1.00,,,1.00,0.00,,1.00,0.00,,1.00,,0.00,,1.00,,,1.00,,,,,,,0.00,1.00,1.00,0.00,,,,,,1.00,,,,,,,,,1.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,1.00,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeskai Control,1.00,0.00,,0.60,1.00,1.00,0.50,1.00,1.00,1.00,1.00,,0.67,0.50,,1.00,1.00,,,1.00,1.00,,,,,1.00,,,,1.00,,,0.00,,0.33,,,,1.00,,1.00,1.00,,1.00,1.00,,,0.00,,,,1.00,,,,,,,,1.00,1.00,,,1.00,0.00,,1.00,1.00,1.00,1.00,,,0.00,,,,,,,,,,,,,,,,1.00,,,0.00,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,,,,,,,,,,,,,,,,1.00,,,,,,,,1.00,,,,,,,,,,,,,1.00,,,,,1.00,,1.00,
Humans and Taxes,1.00,0.25,0.40,,1.00,0.50,1.00,1.00,1.00,1.00,0.00,,,,1.00,0.00,1.00,,1.00,0.50,1.00,,1.00,,,,,,1.00,,,1.00,0.50,,,1.00,,,,,0.00,,,1.00,,,,0.00,,,0.50,,1.00,,,,,1.00,,,,,,,,,1.00,,,,,,0.00,,,,,,,,,,1.00,,,,1.00,,,1.00,,0.00,1.00,,,,,,,,,,,0.00,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,
Gruul Monsters,1.00,,0.00,0.00,,1.00,0.00,1.00,,0.50,1.00,1.00,1.00,,0.50,0.00,,,1.00,,,0.00,,1.00,,,,,,1.00,,,0.00,1.00,,,,,1.00,,,0.00,,,,,,,1.00,,1.00,,,1.00,1.00,,,0.00,,,,1.00,,,,,1.00,,,,,,,,,,,,,,,,,0.00,,,1.00,,,,1.00,,0.00,,,,,,,1.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,0.00,,,,,,,,,,,,,,,1.00,,,,,0.00,,,0.00,,,,
Jund Midrange,0.33,0.33,0.00,0.50,0.00,,0.50,1.00,1.00,,,,,1.00,1.00,0.00,,,1.00,,,1.00,1.00,0.33,,1.00,,,,,,,,1.00,,,1.00,,,1.00,,,,,,,,,,,,,,,,1.00,,,,,0.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,1.00,,1.00,,,1.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,0.00,,,,,0.00,,,1.00,,1.00,,,1.00,,,,,,,,,,,,,,,,,0.00,,,,,,,,
Death and Taxes,0.67,0.50,0.50,0.00,1.00,0.50,,1.00,0.00,0.00,1.00,0.50,,,,,,1.00,,,,,1.00,,,0.00,0.00,,,1.00,0.00,1.00,,,,,,1.00,,,,,,,,1.00,,,0.00,0.00,,,,0.00,,0.00,,,,,,,0.00,,,,1.00,,,,,0.00,,1.00,,,,0.00,,0.00,,,,0.00,,,,1.00,,,,,,,,,,0.00,,,,0.00,1.00,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,0.00,,,,,,
Jeskai Vault,0.50,0.40,0.00,0.00,0.00,0.00,0.00,,1.00,0.00,,,1.00,,0.00,0.50,0.67,,,,,,,,1.00,,1.00,,,,,,,,0.00,,0.00,,,1.00,,,,,,0.00,,,,,,,1.00,,,0.50,,,0.00,,,0.00,,,,,,,,1.00,,,,,1.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,0.00,,1.00,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,
WURG Omnath,1.00,0.40,0.00,0.00,,0.00,1.00,0.00,,0.00,0.00,0.50,,,1.00,1.00,,,,0.00,,0.00,,,1.00,,,0.00,,,0.00,,,1.00,0.00,0.00,,,,,,,,,1.00,,,,,1.00,,,,,,,,,1.00,,,,0.50,1.00,,,,,,,,1.00,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,1.00,,,,,,,,,,,1.00,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Midrange,0.50,0.50,0.00,0.00,0.50,,1.00,1.00,1.00,,,,0.00,,1.00,,,,1.00,,,,,0.00,,,,,,0.50,,,1.00,,,,,,1.00,,,0.50,,,,0.00,,,,,,,,,0.00,,,,,1.00,,,,,0.00,,,,,1.00,1.00,,1.00,0.50,,,,,,,,,,,,,,,,,,,,1.00,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,
Red Deck Wins,0.50,0.00,0.00,1.00,0.00,,0.00,,1.00,,,,,1.00,,,,,,0.00,1.00,,,,,,0.50,,1.00,,1.00,,,,,,,1.00,,0.00,,,,,0.00,,1.00,1.00,,,,,,,,,,,,,1.00,,,,1.00,1.00,,,,,,,,0.00,,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,1.00,,,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WURG Seeker Walk,0.50,0.50,,,0.00,,0.50,,0.50,,,,0.00,,,,,0.00,,0.00,,,0.00,,,0.00,,,,,1.00,,1.00,0.00,,,,,0.00,,1.00,,0.00,0.67,,,,,,,,,,,,0.00,,1.00,,,,,0.00,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,1.00,,,,,,,,,,0.33,,,,,,,,,,,,,0.00,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flash Hulk,,,0.33,,0.00,,,0.00,,1.00,,1.00,,,0.00,,,,0.00,,0.50,,,1.00,,,,,0.50,,,,0.00,0.00,,,,,,,1.00,1.00,,,1.00,,,,,,,,,,1.00,,,1.00,,,,,,0.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,0.00,,,1.00,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,1.00,,,1.00,,,,,0.00,,,1.00,,,,,,,,,,,,,,,,,,
Naya Initiative,0.25,0.20,0.50,,,0.00,,,,,0.00,,,,,0.00,1.00,,,1.00,0.50,,,,,1.00,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,1.00,,,,,,,,,,,,0.00,,,,,,,,,,,0.00,,,,,,,1.00,,,,,1.00,,,,0.00,,0.00,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradox Academy,0.50,,,0.00,0.50,0.00,,1.00,0.00,0.00,,,1.00,,,,0.00,,1.00,,,,,,,,,,,0.33,,,,,,,,,1.00,1.00,,,,,,1.00,,,,,,,0.00,,,,,1.00,,,,,,,,,,,,,,0.00,,,,,,,,,,1.00,,,,,,1.00,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,0.00,,,,,,,,,,,,,,,,,0.00,,,,0.00,,,0.00,,
Naya Winota,1.00,0.25,0.00,1.00,1.00,1.00,,0.50,0.00,,,,,1.00,,,0.50,1.00,,1.00,,1.00,,,,1.00,,,1.00,,,,,,,,0.00,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,0.00,,,1.00,,,,,1.00,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,
Grixis Reanimator,1.00,0.50,0.00,0.00,,,,0.17,,,,,,0.00,1.00,0.50,,,,1.00,,,,0.00,,,,,,0.00,1.00,,1.00,,,,,,,1.00,,,,,,,0.33,,,,,0.50,0.33,,,,,,,1.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,
Pattern Rector,0.00,0.33,,,,,0.00,,,,,1.00,,,,0.00,,,,,,,,,0.00,0.00,,1.00,0.00,,,,,,,1.00,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,
Eggs,0.00,,,0.00,0.00,0.00,,,,0.00,,,1.00,,0.00,,,,,,,0.67,0.00,0.00,,,,,,,,,0.00,,,,,,1.00,,,,,,,,,1.00,,,,,0.00,0.50,,,0.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,
Grixis Thoracle,,0.50,0.00,0.50,,,,,1.00,,1.00,1.00,,0.00,,0.00,0.00,,,,,,,,0.50,,1.00,,,,1.00,0.00,,,,,,,,,,,0.00,,,,1.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,1.00,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temur Moon,0.00,,0.00,0.00,,,,,,,0.00,,0.50,0.50,,,,,,,,,,,,1.00,1.00,,,,1.00,,,,,,1.00,1.00,,,,,,,,,,,0.00,,,,,,,,,,1.00,1.00,,,,0.00,,,,,0.00,,,,,,,,,,,1.00,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,0.00,1.00,,,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium Red,1.00,0.00,,,1.00,0.00,,,1.00,,,,,,,0.00,,,0.17,,,,1.00,,,,,,,,,,,,,1.00,,,1.00,1.00,,,1.00,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,0.00,0.00,,,,,1.00,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atraxa and Taxes,1.00,1.00,,0.00,,0.00,0.00,,,,,1.00,,,,,,,1.00,,,0.00,,0.00,,,,,,,,,,,,,,,0.33,,,,,,,,,,0.00,,,,1.00,,,,,,,,,0.00,,,,0.33,0.00,,,,,,,,,1.00,,,,,,,,,,,,,,,,,0.00,,,,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,0.00,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Scapeshift,1.00,,,,0.00,0.67,,,,1.00,,,0.00,,,,1.00,,1.00,,,,1.00,,,,,,,,,,1.00,,,1.00,,,,,,,,,,,,,,0.00,,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,1.00,,,,,,,,0.00,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,
Boros Death and Taxes,1.00,0.00,,,,,,0.00,0.00,,,,,,,,,1.00,,0.50,,,,,,1.00,0.75,,1.00,,,,,,,,1.00,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotusless Breach Storm,,0.00,0.00,,,0.00,1.00,,,,,1.00,,0.00,,0.00,,1.00,,,0.00,,,,0.00,,0.00,,,,,,,,0.00,,1.00,,,,,,,,,,1.00,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,0.00,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus Breach Storm,0.00,,,,,,1.00,0.00,,,0.50,,,0.00,,,,,,0.00,0.00,,,,0.25,1.00,,,,,,,,,,,,,,,,,,,,,,0.00,1.00,,,,,,,,1.00,,,,,,,,0.00,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,1.00,,,,,,,,,0.00,,,,,,,,,,,,0.00,,,,,,0.00,0.00,,,,,,0.00,0.00,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,
Gruul Cradlehoof,1.00,0.00,,0.00,,,,,,,0.00,,0.50,0.00,,0.00,,1.00,,,,,,,0.00,,,,,,0.00,0.00,,,,,,,,,,,,,,1.00,,,,,,,,,0.00,,,,,,1.00,,,,,1.00,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temur Taking Turns,,,0.00,,0.00,,0.00,,,0.50,,,,,0.67,,1.00,,,,,,,,,,,1.00,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,0.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,1.00,,1.00,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,
Rakdos Midrange,1.00,0.00,,,,,1.00,,1.00,,0.00,0.00,,,,,0.00,,,0.00,0.00,,,,,,,,1.00,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
