Archetypes,,,,,,,,,,Subarchetypes
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count, Members
Midrange, 25, 45, 0.61, 231, 5.13, 0.54, 5, 27,,Death and Taxes, 3, 7, 0.09, 51, 7.29, 0.77, 3, 6, "Death and Taxes, Boros Death and Taxes, Orzhov Death and Taxes"
Aggro, 9, 18, 0.24, 112, 6.22, 0.64, 5, 13,,Initiative Midrange, 3, 6, 0.08, 31, 5.17, 0.53, 0, 4, "Naya Initiative, Esper Initiative, WURG Initiative"
Combo, 10, 18, 0.24, 61, 3.39, 0.35, 0, 4,,Lands, 2, 3, 0.04, 15, 5.00, 0.56, 0, 2, "Abzan Lands, Sultai Lands"
Control, 4, 6, 0.08, 27, 4.50, 0.47, 1, 3,,Blue Moon, 2, 4, 0.05, 21, 5.25, 0.58, 1, 2, "Blue Moon, Temur Moon"
Tempo, 2, 2, 0.03, 9, 4.50, 0.50, 0, 1,,Thoracle, 1, 2, 0.03, 12, 6.00, 0.57, 0, 1, "Sultai Doomsday"
Stax, 1, 1, 0.01, 0, 0.00, 0.00, 0, 0,,Reanimator, 1, 1, 0.01, 6, 6.00, 0.50, 0, 1, "Dark Bant Reanimator"
,,,,,,,,,,Seeker Walk, 0, 0, 0.00, 0, 0, 0, 0, 0, ""
note: archetype metagame share percentages don't add up to 100% because some decks span multiple archetypes,,,,,,,,,,Welder, 2, 2, 0.03, 6, 3.00, 0.33, 0, 0, "Jeskai Welder, Grixis Welder"
,,,,,,,,,,Breach Storm, 0, 0, 0.00, 0, 0, 0, 0, 0, ""
,,,,,,,,,,Time Vault, 0, 0, 0.00, 0, 0, 0, 0, 0, ""
,,,,,,,,,,Goblins, 1, 3, 0.04, 7, 2.33, 0.23, 0, 0, "Rakdos Goblins"
,,,,,,,,,,Birthing Pod, 1, 4, 0.05, 9, 2.25, 0.23, 0, 0, "Pattern Rector"
,,,,,,,,,,Blue Midrange, 1, 1, 0.01, 3, 3.00, 0.33, 0, 0, "Czech Midrange"
,,,,,,,,,,Aristocrats, 1, 1, 0.01, 3, 3.00, 0.33, 0, 0, "Mardu Aristocrats"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,Exact Archetypes
,,,,,,,,,,Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
,,,,,,,,,,Midrange, 16, 31, 0.42, 162, 5.23, 0.55, 2, 20
,,,,,,,,,,Aggro, 5, 8, 0.11, 54, 6.75, 0.69, 2, 7
,,,,,,,,,,Aggro-Midrange, 3, 7, 0.09, 51, 7.29, 0.77, 3, 6
,,,,,,,,,,Combo, 4, 9, 0.12, 36, 4.00, 0.40, 0, 3
,,,,,,,,,,Control, 3, 5, 0.07, 27, 5.40, 0.60, 1, 3
,,,,,,,,,,Combo-Midrange, 5, 6, 0.08, 18, 3.00, 0.33, 0, 1
,,,,,,,,,,Tempo, 2, 2, 0.03, 9, 4.50, 0.50, 0, 1
,,,,,,,,,,Aggro-Combo, 1, 3, 0.04, 7, 2.33, 0.23, 0, 0
,,,,,,,,,,Control-Midrange, 1, 1, 0.01, 0, 0.00, 0.00, 0, 0
,,,,,,,,,,Stax, 1, 1, 0.01, 0, 0.00, 0.00, 0, 0
