Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, 2-X or better Count, Colors, Archetypes, Nicknames
Medium Red, 3, 3, 24, 8.00, 0.89, 0, 2, 3, R, "aggro", ""
Abzan RecSur, 4, 1, 25, 6.25, 0.67, 0, 1, 3, WBG, "midrange", ""
Naya Winota, 4, 1, 25, 6.25, 0.67, 0, 1, 3, WRG, "midrange", ""
Orzhov Death and Taxes, 3, 2, 21, 7.00, 0.78, 0, 1, 3, WB, "aggro, midrange", ""
Esper Initiative, 4, 1, 22, 5.50, 0.54, 0, 0, 3, WUB, "midrange", ""
WURG Tokens, 3, 1, 15, 5.00, 0.50, 0, 0, 2, WURG, "midrange", ""
Death and Taxes, 3, 3, 18, 6.00, 0.67, 0, 1, 2, W, "aggro, midrange", "DnT"
Mardu Pyromancer, 3, 2, 15, 5.00, 0.56, 0, 0, 2, WBR, "midrange", ""
Rakdos Midrange, 1, 1, 6, 6.00, 0.67, 0, 0, 1, BR, "midrange", "Black Moon"
Paradox Academy, 2, 1, 9, 4.50, 0.50, 0, 0, 1, WURG, "combo", ""
Jund Midrange, 2, 1, 9, 4.50, 0.43, 0, 0, 1, BRG, "midrange", ""
Golgari Elves, 2, 1, 9, 4.50, 0.50, 0, 0, 1, BG, "combo, midrange", ""
Esper Control, 1, 1, 6, 6.00, 0.67, 0, 0, 1, WUB, "control", ""
Sultai Lands, 1, 1, 6, 6.00, 0.67, 0, 0, 1, UBG, "midrange", ""
Mono Black Aggro, 1, 1, 6, 6.00, 0.67, 0, 0, 1, B, "aggro", "Sui Black"
Temur Moon, 1, 1, 6, 6.00, 0.67, 0, 0, 1, URG, "control", "RUG Moon"
Boros Death and Taxes, 1, 1, 12, 12.00, 1.00, 0, 1, 1, WR, "aggro, midrange", "Blood and Taxes"
Sultai Doomsday, 2, 2, 12, 6.00, 0.57, 0, 0, 1, UBG, "combo", "BUG Doomsday"
Jund Infect, 1, 1, 9, 9.00, 0.75, 0, 0, 1, BRG, "aggro", ""
Boros Equipment, 2, 1, 9, 4.50, 0.43, 0, 0, 1, WR, "aggro", "RW Equipment"
Dark Bant Reanimator, 1, 1, 6, 6.00, 0.50, 0, 0, 1, WUBG, "combo", "WUBG Reanimator"
Blue Moon, 3, 2, 15, 5.00, 0.56, 0, 1, 1, UR, "control", ""
Red Deck Wins, 1, 1, 6, 6.00, 0.67, 0, 0, 1, R, "aggro", "Burn, Mono Red Aggro, RDW"
Abzan Lands, 2, 2, 9, 4.50, 0.50, 0, 0, 1, WBG, "midrange", ""
WURG Initiative, 1, 1, 6, 6.00, 0.67, 0, 0, 1, WURG, "midrange", "Omnath Initiative, Sans Black Initiative"
WURG Tempo, 1, 1, 6, 6.00, 0.67, 0, 0, 1, WURG, "tempo", "Jeskai Green Tempo, Spearmint Tempo"
Abzan Midrange, 1, 1, 6, 6.00, 0.67, 0, 0, 1, WBG, "midrange", ""
Food Pile, 1, 1, 6, 6.00, 0.67, 0, 0, 1, , "midrange", ""
Temur Tempo, 1, 1, 3, 3.00, 0.33, 0, 0, 0, URG, "tempo", ""
Mono Green Elves, 1, 1, 0, 0.00, 0.00, 0, 0, 0, G, "combo, midrange", ""
Abzan Enchantress, 1, 1, 3, 3.00, 0.33, 0, 0, 0, WBG, "combo, midrange", ""
Mardu Aristocrats, 1, 1, 3, 3.00, 0.33, 0, 0, 0, WBR, "combo, midrange", ""
Jeskai Welder, 1, 1, 3, 3.00, 0.33, 0, 0, 0, WUR, "midrange", "Jeskai Artifact Midrange"
Czech Midrange, 1, 1, 3, 3.00, 0.33, 0, 0, 0, UBRG, "midrange", "Sans White Midrange"
Pattern Rector, 4, 1, 9, 2.25, 0.23, 0, 0, 0, WBG, "combo", "Sandy B"
Rakdos Goblins, 3, 1, 7, 2.33, 0.23, 0, 0, 0, BR, "aggro, combo", "BR Goblins"
Rakdos Pyromancer, 1, 1, 3, 3.00, 0.25, 0, 0, 0, BR, "midrange", ""
Azorius Flash, 1, 1, 0, 0.00, 0.00, 0, 0, 0, WU, "control, midrange", ""
Grixis Welder, 1, 1, 3, 3.00, 0.33, 0, 0, 0, UBR, "combo, midrange", ""
Naya Initiative, 1, 1, 3, 3.00, 0.33, 0, 0, 0, WRG, "midrange", ""
Unknown, 1, 1, 0, 0.00, 0.00, 0, 0, 0, , "", ""
Mono-Blue Stax, 1, 1, 0, 0.00, 0.00, 0, 0, 0, U, "stax", ""
