Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, Top Cuts, 2-X or better Count, Colors, Archetypes, Nicknames
Jeskai Midrange, 27, 8, 198, 7.33, 0.70, 0.72, 11, 10, 16, WUR, "midrange", ""
Humans and Taxes, 16, 2, 117, 7.31, 0.70, 0.71, 2, 7, 13, W, "aggro", ""
5C Superfriends, 23, 1, 111, 4.83, 0.49, 0.49, 0, 4, 12, WUBRG, "combo", "5C Walker Omnitell"
Jeskai Control, 14, 5, 103, 7.36, 0.72, 0.72, 3, 4, 11, WUR, "control", ""
Jund Midrange, 14, 2, 81, 5.79, 0.60, 0.61, 0, 3, 10, BRG, "midrange", "Jund Pyromancer"
Naya Winota, 9, 2, 57, 6.33, 0.66, 0.62, 0, 2, 8, WRG, "midrange", ""
Gruul Monsters, 11, 4, 69, 6.27, 0.62, 0.64, 1, 4, 8, RG, "aggro", ""
WURG Omnath, 11, 6, 60, 5.45, 0.54, 0.54, 0, 3, 7, WURG, "control, midrange", "Spearmint, Jeskai Green, Hot Bant, 4C Omnath"
Grixis Thoracle, 9, 1, 48, 5.33, 0.59, 0.59, 0, 0, 7, UBR, "combo, tempo", ""
Red Deck Wins, 12, 3, 69, 5.75, 0.57, 0.59, 1, 3, 7, R, "aggro", "Burn, Mono Red Aggro, RDW"
Czech Scapeshift, 7, 2, 51, 7.29, 0.74, 0.76, 1, 2, 7, UBRG, "combo, control", ""
Death and Taxes, 11, 6, 42, 3.82, 0.42, 0.41, 0, 0, 5, W, "aggro, midrange", "DnT"
Boros Death and Taxes, 7, 3, 33, 4.71, 0.52, 0.50, 0, 0, 5, WR, "aggro, midrange", "Blood and Taxes"
Jeskai Vault, 11, 4, 48, 4.36, 0.47, 0.45, 0, 1, 5, WUR, "combo, midrange", ""
Naya Initiative, 10, 4, 51, 5.10, 0.52, 0.52, 0, 2, 5, WRG, "midrange", ""
Temur Moon, 8, 4, 39, 4.88, 0.52, 0.54, 0, 1, 5, URG, "control", "RUG Moon"
Rakdos Midrange, 6, 2, 24, 4.00, 0.44, 0.47, 0, 0, 3, BR, "midrange", "Black Moon"
WURG Seeker Walk, 10, 6, 35, 3.50, 0.38, 0.40, 0, 1, 3, WURG, "combo, midrange", "Spearmint Seeker, 4C Seeker Walk, Sans Black Seeker"
Naya Pod, 5, 3, 24, 4.80, 0.50, 0.50, 0, 1, 3, WRG, "combo", ""
Lotusless Breach Storm, 7, 3, 30, 4.29, 0.48, 0.45, 0, 0, 3, WUBRG, "combo", ""
Sultai Midrange, 5, 2, 22, 4.40, 0.49, 0.49, 0, 0, 3, UBG, "midrange", "BUG Midrange"
Eggs, 8, 4, 28, 3.50, 0.39, 0.36, 0, 0, 3, WURG, "combo", ""
Medium Red, 7, 3, 31, 4.43, 0.49, 0.52, 0, 0, 3, R, "aggro", ""
Sultai Doomsday, 4, 2, 21, 5.25, 0.58, 0.58, 0, 0, 3, UBG, "combo", "BUG Doomsday"
UBRG Thoracle, 3, 2, 18, 6.00, 0.67, 0.67, 0, 0, 3, UBRG, "combo, midrange", "Sans White Thoracle"
Black Mold, 4, 1, 18, 4.50, 0.50, 0.55, 0, 0, 3, BG, "aggro", "Black Mould"
Flash Hulk, 7, 2, 33, 4.71, 0.50, 0.48, 1, 1, 3, WUBG, "combo", ""
Grixis Midrange, 4, 2, 21, 5.25, 0.58, 0.58, 0, 0, 3, UBR, "midrange", ""
Esper Reanimator, 4, 1, 33, 8.25, 0.79, 0.79, 2, 2, 3, WUB, "combo", ""
Pattern Rector, 7, 3, 24, 3.43, 0.38, 0.38, 0, 0, 2, WBG, "combo", "Sandy B"
Mono Black Aggro, 3, 1, 12, 4.00, 0.44, 0.50, 0, 0, 2, B, "aggro", "Sui Black"
Flash Oath, 3, 3, 24, 8.00, 0.67, 0.67, 1, 2, 2, WUBG, "combo", ""
Czech Midrange, 3, 3, 15, 5.00, 0.50, 0.50, 0, 1, 2, UBRG, "midrange", "Sans White Midrange"
Lotus Breach Storm, 7, 5, 27, 3.86, 0.39, 0.40, 1, 1, 2, WUBRG, "combo", ""
Esper Thoracle, 5, 1, 19, 3.80, 0.42, 0.38, 0, 0, 2, WUB, "combo, control", ""
Jeskai Welder, 4, 4, 13, 3.25, 0.36, 0.39, 0, 0, 2, WUR, "midrange", "Jeskai Artifact Midrange"
WBRG Initiative, 2, 1, 15, 7.50, 0.71, 0.71, 0, 1, 2, WBRG, "midrange", "Blood Initiative"
Temur Midrange, 2, 2, 12, 6.00, 0.67, 0.60, 0, 0, 2, URG, "midrange", "RUG Midrange"
Gruul Aggro, 6, 3, 24, 4.00, 0.42, 0.42, 0, 1, 2, RG, "aggro", "RG Aggro"
Abzan Midrange, 4, 2, 15, 3.75, 0.42, 0.30, 0, 0, 2, WBG, "midrange", ""
Rakdos Goblins, 4, 3, 18, 4.50, 0.50, 0.45, 0, 0, 2, BR, "aggro, combo", "BR Goblins"
Paradox Academy, 4, 3, 15, 3.75, 0.42, 0.42, 0, 0, 2, WURG, "combo", ""
Grixis Reanimator, 6, 4, 20, 3.33, 0.37, 0.39, 0, 0, 2, UBR, "combo", ""
Atraxa and Taxes, 7, 3, 26, 3.71, 0.41, 0.38, 0, 0, 2, WUBG, "midrange", ""
Medium Boros, 3, 1, 15, 5.00, 0.56, 0.50, 0, 0, 2, WR, "midrange", ""
WUBG Food, 2, 1, 12, 6.00, 0.67, 0.67, 0, 0, 2, WUBG, "combo, midrange", ""
Selesnya Angels, 2, 1, 12, 6.00, 0.67, 0.67, 0, 0, 2, WG, "midrange", ""
Temur Control, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, URG, "control", ""
Mono Blue Control, 2, 1, 9, 4.50, 0.43, 0.43, 0, 1, 1, U, "control", ""
Jund Initiative, 5, 2, 21, 4.20, 0.44, 0.44, 0, 1, 1, BRG, "midrange", ""
DoomsDragon, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, UBR, "combo", ""
WUBG Midrange, 4, 1, 16, 4.00, 0.44, 0.48, 0, 0, 1, WUBG, "midrange", ""
Simic Merfolk, 3, 1, 6, 2.00, 0.22, 0.25, 0, 0, 1, UG, "midrange", "UG Merfolk"
4C Pod, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, , "combo", ""
Azorius Control, 3, 3, 9, 3.00, 0.33, 0.33, 0, 0, 1, WU, "control", "UW Control"
Grixis Welder, 4, 2, 15, 3.75, 0.42, 0.36, 0, 0, 1, UBR, "combo, midrange", ""
Red Deck Bins, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, R, "aggro", ""
5C Seeker Walk, 2, 1, 9, 4.50, 0.50, 0.67, 0, 0, 1, WUBRG, "combo, midrange", ""
Grixis Tinker Reanimator, 2, 1, 6, 3.00, 0.33, 0.33, 0, 0, 1, UBR, "combo", ""
Gruul Cradlehoof, 6, 3, 18, 3.00, 0.33, 0.33, 0, 0, 1, RG, "combo", "Hoof, RG Hoof, GR Hoof"
Selesnya Legends, 3, 1, 9, 3.00, 0.33, 0.33, 0, 0, 1, WG, "midrange", "GW Legends, GW Maverick"
Sultai Thoracle, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, UBG, "combo, control", "BUG Thoracle"
Aluren, 1, 1, 9, 9.00, 0.60, 0.60, 0, 1, 1, WUBG, "combo, midrange", ""
Yawgmoth's Jacuzzi, 2, 1, 9, 4.50, 0.43, 0.60, 0, 1, 1, WUBG, "combo", ""
WURG Initiative, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WURG, "midrange", "Omnath Initiative, Sans Black Initiative"
Academy Prison, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBG, "combo, stax", ""
Jund Aristocrats, 2, 1, 9, 4.50, 0.50, 0.60, 0, 0, 1, BRG, "combo, midrange", ""
4C Initiative, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, , "midrange", ""
4C Artifacts, 2, 1, 9, 4.50, 0.50, 0.50, 0, 0, 1, , "", ""
WURG Tempo, 1, 1, 12, 12.00, 1.00, 1.00, 1, 1, 1, WURG, "tempo", "Jeskai Green Tempo, Spearmint Tempo"
Esper Dreadnaught Prison, 3, 1, 10, 3.33, 0.37, 0.37, 0, 0, 1, WUB, "stax", ""
WUBG Seeker Initiative, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBG, "combo, midrange", ""
Mono Red Goblins, 1, 1, 9, 9.00, 1.00, 1.00, 1, 0, 1, R, "aggro, combo", ""
UBRG Welder, 2, 1, 12, 6.00, 0.57, 0.57, 0, 1, 1, UBRG, "combo, midrange", "Sans White Welder"
Azorius Moon, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WU, "control", "UW Moon"
Bant Seeker Walk, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUG, "combo, midrange", ""
4C Blink Pod, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, , "midrange", ""
Esper Reanimator Thoracle, 2, 1, 12, 6.00, 0.57, 0.50, 0, 1, 1, WUB, "combo", ""
5C Legends, 4, 2, 12, 3.00, 0.33, 0.27, 0, 0, 1, WUBRG, "midrange", ""
Dimir Doomsday, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, UB, "combo", ""
Temur Lands Walks, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, URG, "midrange", ""
Golgari Hoof, 1, 1, 6, 6.00, 0.67, 0.50, 0, 0, 1, BG, "combo, midrange", ""
WUBR Welder, 2, 2, 12, 6.00, 0.57, 0.80, 1, 1, 1, WUBR, "combo, midrange", ""
Boros Midrange, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WR, "midrange", ""
Martyr Grace, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WB, "midrange", ""
Orzhov Humans and Taxes, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WB, "aggro", ""
BUGw Natural Order, 1, 1, 6, 6.00, 0.67, 0.67, 0, 0, 1, WUBG, "midrange", ""
Boros Tokens, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WR, "aggro", ""
Dimir High Tide, 1, 1, 1, 1.00, 0.11, 0.11, 0, 0, 0, UB, "combo", ""
Blue Moon, 4, 3, 12, 3.00, 0.33, 0.27, 0, 0, 0, UR, "control", ""
Esper Time Vault, 2, 2, 6, 3.00, 0.33, 0.33, 0, 0, 0, WUB, "combo", "Esper Vault"
Abzan Lands, 2, 2, 6, 3.00, 0.33, 0.33, 0, 0, 0, WBG, "midrange", ""
Zombies, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, B, "midrange", ""
Esper Control, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WUB, "control", ""
Esper Initiative, 3, 3, 3, 1.00, 0.11, 0.13, 0, 0, 0, WUB, "midrange", ""
Bant Enchantress, 2, 2, 6, 3.00, 0.33, 0.33, 0, 0, 0, WUG, "combo, stax", ""
4C Welder, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, , "combo, midrange", ""
Unknown, 5, 4, 3, 0.60, 0.07, 0.00, 0, 0, 0, , "", ""
Bant Midrange, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUG, "midrange", ""
Dead Guy Dragons, 1, 1, 0, 0.00, 0.00, 0.00, 0, 0, 0, WBR, "combo", ""
Rakdos Pyromancer, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, BR, "midrange", ""
Jund Goblins, 3, 2, 6, 2.00, 0.22, 0.22, 0, 0, 0, BRG, "aggro, combo", ""
Death and Goblins, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WR, "aggro", "Boros Goblins, RW Goblins"
Dimir Ninjas, 2, 1, 6, 3.00, 0.33, 0.33, 0, 0, 0, UB, "tempo", "UB Ninjas"
WURG Lands Midrange, 2, 2, 3, 1.50, 0.17, 0.17, 0, 0, 0, WURG, "midrange", "Sans Black Lands"
Grixis Tempo Doomsday, 1, 1, 3, 3.00, 0.33, 0.00, 0, 0, 0, UBR, "combo, tempo", ""
Esper Doomsday, 1, 1, 3, 3.00, 0.33, 0.33, 0, 0, 0, WUB, "combo", ""
