July 8,,,,,,,,,,13 Players
,,,,,,,,,,
New Players, "Idiotic avocado",,,,,,,,,Decks
New Decks, "Mono Blue Shops",,,,,,,,,
Player Personal Best, "kelvin 4-0, JWyatt 3-1",,,,,,,,,4 - 0, Flash Hulk
Deck New Best, "Flash Hulk 4-0",,,,,,,,,
Positive Streaks (Weeks), "Fry Guy (6), kelvin (3), Axelia (3), Harju (2)",,,,,,,,,3 - 1, Czech Scapeshift
,,,,,,,,,,
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,2 - 1, Selesnya Angels
Midrange, 3, 3, 0.23, 15, 5.00, 0.56, 0, 2,,, Naya Winota
Combo, 3, 3, 0.23, 21, 7.00, 0.70, 1, 2,,, Jeskai Control
Combo-Midrange, 2, 2, 0.15, 3, 1.50, 0.17, 0, 0,,, 5C Superfriends
Aggro-Combo, 1, 1, 0.08, 3, 3.00, 0.33, 0, 0,,
Combo-Control, 1, 1, 0.08, 9, 9.00, 0.75, 0, 1,,1 - 2, Mono Blue Shops
Control, 1, 1, 0.08, 6, 6.00, 0.67, 0, 1,,, Pattern Rector
Stax, 1, 1, 0.08, 3, 3.00, 0.33, 0, 0,,, Jund Goblins
,,,,,,,,,,, Jund Pyromancer
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,, Jeskai Vault
Jund, 2, 2, 0.15, 6, 3.00, 0.33, 0, 0,,
Jeskai, 2, 2, 0.15, 9, 4.50, 0.50, 0, 1,,0 - 3, Unknown
WUBG, 2, 2, 0.15, 12, 6.00, 0.57, 1, 1,,, WUBG Seeker Walk
Mono Blue, 1, 1, 0.08, 3, 3.00, 0.33, 0, 0
Selesnya, 1, 1, 0.08, 6, 6.00, 0.67, 0, 1
Naya, 1, 1, 0.08, 6, 6.00, 0.67, 0, 1
Abzan, 1, 1, 0.08, 3, 3.00, 0.33, 0, 0
UBRG, 1, 1, 0.08, 9, 9.00, 0.75, 0, 1
5 Color, 1, 1, 0.08, 6, 6.00, 0.67, 0, 1

Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
White, 8, 8, 0.62, 42, 5.25, 0.56, 1, 5
Blue, 7, 7, 0.54, 39, 5.57, 0.57, 1, 4
Black, 7, 7, 0.54, 36, 5.14, 0.52, 1, 3
Red, 7, 7, 0.54, 36, 5.14, 0.55, 0, 4
Green, 9, 9, 0.69, 48, 5.33, 0.55, 1, 5
