Name, Played Count, Unique Pilots, Total Points, Average Points, Winrate, Non-Mirror No Byes Winrate, Trophies, 2-X or better Count, Colors, Archetypes, Nicknames
Naya Winota, 3, 1, 21, 7.00, 0.78, 0, 1, 3, WRG, "midrange", ""
Abzan RecSur, 3, 1, 18, 6.00, 0.67, 0, 1, 2, WBG, "midrange", ""
WURG Tokens, 3, 1, 15, 5.00, 0.50, 0, 0, 2, WURG, "midrange", ""
Orzhov Death and Taxes, 2, 2, 15, 7.50, 0.83, 0, 1, 2, WB, "aggro, midrange", ""
Esper Initiative, 3, 1, 16, 5.33, 0.50, 0, 0, 2, WUB, "midrange", ""
Medium Red, 1, 1, 9, 9.00, 1.00, 0, 1, 1, R, "aggro", ""
Rakdos Midrange, 1, 1, 6, 6.00, 0.67, 0, 0, 1, BR, "midrange", "Black Moon"
Paradox Academy, 2, 1, 9, 4.50, 0.50, 0, 0, 1, WURG, "combo", ""
Jund Midrange, 2, 1, 9, 4.50, 0.43, 0, 0, 1, BRG, "midrange", ""
Golgari Elves, 2, 1, 9, 4.50, 0.50, 0, 0, 1, BG, "combo, midrange", ""
Death and Taxes, 2, 2, 9, 4.50, 0.50, 0, 0, 1, W, "aggro, midrange", "DnT"
Esper Control, 1, 1, 6, 6.00, 0.67, 0, 0, 1, WUB, "control", ""
Sultai Lands, 1, 1, 6, 6.00, 0.67, 0, 0, 1, UBG, "midrange", ""
Mono Black Aggro, 1, 1, 6, 6.00, 0.67, 0, 0, 1, B, "aggro", "Sui Black"
Temur Moon, 1, 1, 6, 6.00, 0.67, 0, 0, 1, URG, "control", "RUG Moon"
Boros Death and Taxes, 1, 1, 12, 12.00, 1.00, 0, 1, 1, WR, "aggro, midrange", "Blood and Taxes"
Sultai Doomsday, 2, 2, 12, 6.00, 0.57, 0, 0, 1, UBG, "combo", "BUG Doomsday"
Jund Infect, 1, 1, 9, 9.00, 0.75, 0, 0, 1, BRG, "aggro", ""
Boros Equipment, 1, 1, 6, 6.00, 0.50, 0, 0, 1, WR, "aggro", "RW Equipment"
WUBG Reanimator, 1, 1, 6, 6.00, 0.50, 0, 0, 1, WUBG, "combo", "Dark Bant Reanimator"
Blue Moon, 1, 1, 9, 9.00, 1.00, 0, 1, 1, UR, "control", ""
Mardu Pyromancer, 1, 1, 6, 6.00, 0.67, 0, 0, 1, WBR, "midrange", ""
Red Deck Wins, 1, 1, 6, 6.00, 0.67, 0, 0, 1, R, "aggro", "Burn, Mono Red Aggro, RDW"
Abzan Lands, 2, 2, 9, 4.50, 0.50, 0, 0, 1, WBG, "midrange", ""
Temur Tempo, 1, 1, 3, 3.00, 0.33, 0, 0, 0, URG, "tempo", ""
Mono Green Elves, 1, 1, 0, 0.00, 0.00, 0, 0, 0, G, "combo, midrange", ""
Abzan Enchantress, 1, 1, 3, 3.00, 0.33, 0, 0, 0, WBG, "combo, midrange", ""
Mardu Aristocrats, 1, 1, 3, 3.00, 0.33, 0, 0, 0, WBR, "combo, midrange", ""
Jeskai Welder, 1, 1, 3, 3.00, 0.33, 0, 0, 0, WUR, "combo, midrange", "Jeskai Artifact Midrange, Jeskai Vault"
Czech Midrange, 1, 1, 3, 3.00, 0.33, 0, 0, 0, UBRG, "midrange", "Sans White Midrange"
Pattern Rector, 3, 1, 6, 2.00, 0.20, 0, 0, 0, WBG, "combo", "Sandy B"
Rakdos Goblins, 2, 1, 4, 2.00, 0.19, 0, 0, 0, BR, "aggro, combo", "BR Goblins"
Rakdos Pyromancer, 1, 1, 3, 3.00, 0.25, 0, 0, 0, BR, "midrange", ""
Azorius Flash, 1, 1, 0, 0.00, 0.00, 0, 0, 0, WU, "control, midrange", ""
Grixis Welder, 1, 1, 3, 3.00, 0.33, 0, 0, 0, UBR, "combo, midrange", ""
