June 25,,,,,,,,,,10 Players
,,,,,,,,,,
New Players, "Brandon, Jason, Frank",,,,,,,,,Decks
New Decks, "Abzan Midrange, Food Pile, Unknown, Mono-Blue Stax",,,,,,,,,
Player Personal Best, "",,,,,,,,,,3 - 0, Death and Taxes
Deck New Best, "Death and Taxes 3-0",,,,,,,,,
Positive Streaks (Weeks), "Matthew P. (5), Timothy R. (5), Joshua L. (3)",,,,,,,,,2 - 1, Mardu Pyromancer
,,,,,,,,,,, Abzan Midrange
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,, Orzhov Death and Taxes
Midrange, 3, 3, 0.30, 18, 6.00, 0.67, 0, 3,,, Food Pile
Aggro-Midrange, 2, 2, 0.20, 15, 7.50, 0.83, 1, 2,,, Medium Red
Aggro-Combo, 1, 1, 0.10, 3, 3.00, 0.33, 0, 0,,
Combo, 1, 1, 0.10, 3, 3.00, 0.33, 0, 0,,1 - 2, Pattern Rector
Aggro, 1, 1, 0.10, 6, 6.00, 0.67, 0, 1,,, Rakdos Goblins
Stax, 1, 1, 0.10, 0, 0.00, 0.00, 0, 0,,
,,,,,,,,,,0 - 3, Unknown
Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count,,, Mono-Blue Stax
Abzan, 2, 2, 0.20, 9, 4.50, 0.50, 0, 1
Mono White, 1, 1, 0.10, 9, 9.00, 1.00, 1, 1
Mono Blue, 1, 1, 0.10, 0, 0.00, 0.00, 0, 0
Mono Red, 1, 1, 0.10, 6, 6.00, 0.67, 0, 1
Rakdos, 1, 1, 0.10, 3, 3.00, 0.33, 0, 0
Orzhov, 1, 1, 0.10, 6, 6.00, 0.67, 0, 1
Mardu, 1, 1, 0.10, 6, 6.00, 0.67, 0, 1

Name, Unique Decks, Played Count, Metagame Share, Total Points, Average Points, Winrate, Trophies, 2-X or better Count
White, 5, 5, 0.50, 30, 6.00, 0.67, 1, 4
Blue, 1, 1, 0.10, 0, 0.00, 0.00, 0, 0
Black, 5, 5, 0.50, 24, 4.80, 0.53, 0, 3
Red, 3, 3, 0.30, 15, 5.00, 0.56, 0, 2
Green, 2, 2, 0.20, 9, 4.50, 0.50, 0, 1
